capacity_gib,concurrency,baseline,task_id,capacity_blocks,n_accesses,elapsed_s,global_block_hit_rate,global_p95_ttft_ms,global_throughput,migrate_ms_total,restore_ms_total,migrate_count,restore_count,fallback_count,n_tasks,task_miss_cost_ms,task_saved_prefill_ms,task_p95_ttft_ms,task_p50_ttft_ms,task_hits,task_misses,task_block_hit_rate,task_n_requests
1,4,gdsf,airline-27,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1055166.877033189,3393897.8275842965,28587.04649284482,4728.778939694166,28235,9773,0.7428699221216586,123
1,4,gdsf,airline-16,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,366241.5566230193,1960998.1733011082,13587.585404515266,1725.3067940473557,21097,3916,0.8434414104665574,102
1,4,gdsf,airline-6,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,14944690.57423994,9197211.409422569,228346.37202881277,8666.824363172054,39199,37300,0.5124119269532935,170
1,4,gdsf,retail-60,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,272045.9680138156,2327387.9071678966,7368.028869852424,971.647322177887,24364,2954,0.8918661688264148,121
1,4,gdsf,retail-33,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,580436.5705437958,3035782.352185808,26312.862262129784,1126.2357216328382,33216,4758,0.874703744667404,140
1,4,gdsf,retail-61,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,580786.821750924,1490377.0860834047,33523.96984398365,455.4220922291279,18158,4261,0.8099379990186895,97
1,4,gdsf,retail-14,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1544611.9932942092,4894520.062284544,37880.17919007689,2408.345341682434,47613,12238,0.7955255551285693,191
1,4,gdsf,retail-62,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,5764760.061466135,7291261.626204476,86858.34831371903,4642.5963984802365,44016,16754,0.7243047556360046,175
1,4,gdsf,retail-8,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1572836.7867926136,4154372.6609684527,46273.04810285568,2762.0844542980194,36597,11931,0.7541419386745796,155
1,4,gdsf,retail-82,1170,8262330,29.45,0.7058172452564834,81775.91168880463,35.78204380724338,0.0,0.0,0,0,0,165,1595519.4320548326,3982171.0222139955,70147.56076037884,1802.5089427828789,38532,10945,0.7787861026335469,165
